CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Winnipeg (MB)	04/08/2016 12:00:00 AM	Winnipeg (MB), 4 août 2016. Une fuite de gaz naturel à Winnipeg a provoqué l’évacuation d’environ 200 personnes. La fuite a été causée par un entrepreneur qui a accidentellement sectionné une ligne de gaz sur un chantier de construction à l’intersection de la rue Keewatin et du chemin Paramount. En tout, 122 maisons et deux entreprises ont été temporairement évacuées, mais les résidents ont été autorisés à retourner plus tard le même jour.			200	0.0000	0.0	04/08/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Inondation	Fort McMurray (AB)	30/07/2016 12:00:00 AM	Fort McMurray (AB), les 30 et 31 juillet 2016. Quelques semaines seulement après l’incendie irréprimé dévastateur qui a balayé la municipalité régionale de Wood Buffalo, la ville de Fort McMurray a été frappée par une crue soudaine, qui a causé des dommages à des biens personnels et qui a perturbé la circulation locale et les efforts de rétablissement. Le 31 juillet, Fort McMurray a reçu jusqu’à 85 mm de pluie, ce qui a causé d’importants dommages à environ 41 maisons. L’inondation s’est produite à un moment où Fort McMurray faisait l’objet d’efforts de rétablissement en réponse aux incendies irréprimés de mai qui avaient causé l’évacuation de toute la ville. La crue soudaine a aussi causé des fermetures de routes et interrompu l’alimentation électrique des feux de circulation.				0.0000	0.0	31/07/2016 12:00:00 AM										
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Rivière Saskatchewan nord (SK)	21/07/2016 12:00:00 AM	Rivière Saskatchewan Nord (SK), 21 juillet 2016. Un pipeline de Husky Energy Inc. s’est rompu, déversant jusqu’à 250 000 litres de pétrole mélangé avec un diluant dans la rivière Saskatchewan Nord. Des signes de la fuite ont d’abord été détectés le 20 juillet; toutefois, après une première inspection, les équipes ont déclaré n’avoir trouvé aucune fuite. Le jour suivant, le pipeline a été fermé à titre de précaution. Après quelques heures, du pétrole a été aperçu dans la rivière et une équipe d’intervention d’urgence a été dépêchée. La fuite, qui s’est répandue sur des centaines de kilomètres en aval, a contaminé les cours d’eau de la rivière Saskatchewan Nord, qui est la principale source d’eau de nombreuses collectivités. Les 23 et 25 juillet, l’eau contaminée a atteint North Battleford et Prince Albert, où un état d’urgence a été déclaré, obligeant les deux collectivités à interrompre leur prise d’eau. De plus, la ville de Melfort et la municipalité de Star City ont reçu l’ordre de faire bouillir l’eau avant de la boire. De nombreuses collectivités des Premières Nations ont été touchées, y compris la Première Nation Muskaday, qui a déclaré un état d’urgence locale le 27 juillet. Le 29 juillet, le pétrole a cessé d’être répandu à partir du site source et de 40 % à 50 % du déversement a été récupéré. Le déversement a causé de graves dommages environnementaux et les efforts de nettoyage risquaient de perturber environ 3 000 sites archéologiques le long des cours d’eau.				0.0000	0.0	21/07/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Tornade	Long Plain First Nation MB	20/07/2016 12:00:00 AM	Première Nation Long Plain (MB), 20 juillet 2016. Une tornade de force EF1 a touché le sol dans la collectivité de la Première Nation Long Plain, laissant dans son sillage des dégâts considérables. La tornade, qui a été produite par le système dépressionnaire persistant en altitude qui a balayé les Prairies, a déraciné des arbres et causé des dommages matériels importants. En tout, la tornade a gravement endommagé 57 maisons, tandis que 150 autres maisons ont subi des dommages modérés. De plus, la tornade a causé des dommages au matériel de communication du Service de police Dakota Ojibway. Environ 600 résidents ont été évacués de leurs maisons et déménagés à Winnipeg, où ils sont restés dans un hébergement d’urgence. L’important système de tempête qui accompagnait la tornade a fait tomber des lignes et des poteaux électriques, ce qui a entraîné des pannes de courant. Au Manitoba, plus de 18 000 clients hydroélectriques (environ 54 000 personnes) ont été laissés sans courant. À Long Plain et dans les environs, environ 6 500 clients hydroélectriques (environ 19 500 personnes) ont manqué d’électricité.			600	0.0000	0.0	20/07/2016 12:00:00 AM								54000		
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Provinces des Prairies	18/07/2016 12:00:00 AM	Provinces des Prairies, 18 au 20 juillet 2015. Les régions méridionales des provinces des Prairies ont été envahies par des orages violents après des semaines de mauvais temps. Un système de tempête se dirigeant vers le nord est entré dans le sud de l’Alberta où des orages isolés se sont développés le long du piémont albertain. Le 18 juin, l’orage s’est étendu pour s’abattre sur Calgary, Medicine Hat et Dunmore en produisant de la grêle, de fortes pluies et des vents violents. Des avertissements de tornades ont aussi été donnés. Le 19 juin, le système de tempête s’est déplacé au­dessus de la Saskatchewan et du Manitoba en produisant de la grêle, ce qui a provoqué l’émission d’autres avertissements de tornade. En Saskatchewan, des grêlons atteignant presque la taille d’une balle molle se sont abattus sur la vallée Stewart et Davison, où une tornade a brièvement touché le sol et causé des dommages minimes. Certaines parties du sud du Manitoba ont reçu des grêlons moins gros; toutefois, une tornade plus violente a touché le sol sur le territoire de la Première Nation Long Plain, qui a subi d’importants dommages.				0.0000	0.0	20/07/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Alberta and Saskatchewan	15/07/2016 12:00:00 AM	Alberta et Saskatchewan, 15 au 16 juillet 2016. Un système de tempête a produit de la grêle, de fortes pluies et des crues soudaines dans certaines parties du sud de l’Alberta et du sud de la Saskatchewan. Le 15 juillet, Lethbridge, en Alberta, a été touché par de la grêle, tandis que Calgary et le lac Arbour ont connu des inondations localisées. Le 16 juillet, des pluies torrentielles qui ont donné lieu à une accumulation de 60 mm en moins d’une heure se sont abattues sur la municipalité de Swift Current, en Saskatchewan, ce qui a causé des crues soudaines. En Alberta, la grêle a endommagé des toitures de maisons, brisé des fenêtres et bosselé des véhicules. À Swift Current, des crues soudaines ont submergé le système d’égouts pluviaux de la ville, ce qui s’est traduit en sous-sols inondés et en véhicules submergés.				0.0000	0.0	16/07/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Provinces des Prairies	08/07/2016 12:00:00 AM	Provinces des Prairies, du 8 au 11 juillet 2016. Des orages violents ont balayé les Prairies du 8 au 11 juillet. Le 8 juillet, des orages en Alberta ont touché Edmonton, Calgary et Redwater, où de la grêle et de fortes pluies ont causé des crues soudaines. Le 10 juillet, le mauvais temps a continué en Saskatchewan, où l’accumulation de pluie s’est élevée à 130 mm, causant d’importantes inondations à Estevan et provoquant la déclaration d’un état d’urgence local. On a aussi signalé de nombreux nuages en entonnoir en Saskatchewan, y compris à Battleford et à Humboldt, où une petite tornade a brièvement touché le sol pendant environ 20 secondes. Le 11 juillet, la queue du système de tempête est entrée au Manitoba où certaines collectivités ont reçu jusqu’à 88,9 mm de pluie, y compris Lloydminster, Yorktown, Humboldt et Watrous. Les orages violents qui ont balayé les Prairies ont entraîné des dommages matériels causés par la grêle et des dommages aux infrastructures causés par de fortes pluies, des vents violents et des éclairs, y compris au Manitoba où des rafales de vent de plus de 100 km/h ont causé des pannes de courant en raison des arbres tombés.				0.0000	0.0	11/07/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Sud de l'Ontario	08/07/2016 12:00:00 AM	Sud de l’Ontario, 8 juillet 2016. Un front froid a produit de violents orages partout dans le sud de l’Ontario. De nombreux orages violents ont généré de la grêle à Markdale et Flesherton avant de se déplacer vers l’est jusqu’à Midland et Bradford. London, Whitby et Ajax ont connu de fortes pluies, des vents violents et des éclairs, le cumul de pluie atteignant plus de 35 mm. De fortes rafales de vent de plus de 100 km/h ont été signalées dans les régions au nord de la région du Grand Toronto (RGT). Les vents violents ont fait tomber des arbres et des lignes électriques, entraînant des pannes d’électricité qui ont touché plus de 39 000 clients d’Hydro One (environ 117 000 personnes). De plus, la grêle a causé d’importants dommages à plus de 2 000 acres de cultures dans la région de Holland Marsh.				0.0000	0.0	08/07/2016 12:00:00 AM								117000		
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Burns Bog (C.-B.)	03/07/2016 12:00:00 AM	Marais Burns Bog (C.-B.), du 3 au 6 juillet 2016. Un incendie irréprimé de 78 hectares brûlait dans la réserve naturelle de Delta du marais Burns Bog, à proximité de Surrey, en Colombie-Britannique. L’incendie a provoqué un état d’urgence local en raison de sa proximité à des secteurs résidentiels de banlieue et à un complexe industriel. Le parc industriel Tilbury de Delta, qui regroupe 25 entreprises commerciales, a été évacué le 3 juillet et les travailleurs n’ont pas pu y retourner avant le 6 juillet. Une section de l’autoroute 17, de l’autoroute 99 à l’échangeur de l’autoroute 91, a été fermée temporairement en raison de l’incendie qui brûlait à proximité dangereuse de la route. Le marais Burns Bog est le plus grand marais bombé et la plus grande superficie de terrain non développé du littoral du Pacifique en Amérique du Nord. Les autorités prévoient qu’il faudra jusqu’à un siècle pour que le marais soit complètement restauré.				0.0000	0.0	06/07/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Provinces des Prairies	28/06/2016 12:00:00 AM	Provinces des Prairies, du 28 au 30 juin 2016. De nombreux orages ont frappé l’Alberta, la Saskatchewan et le Manitoba alors qu’un front chaud est entré dans les Prairies. Le 28 juin, des orages violents se sont formés en Alberta, où Okotoks a reçu 30 cm de grêle, Edmonton a reçu jusqu’à 75 mm de pluie et Calgary a été frappé par des vents violents et de la foudre qui ont provoqué l’incendie d’arbres et de deux maisons. Le 29 juin, l’orage a commencé à se déplacer vers le sud de la Saskatchewan et le sud du Manitoba, où de la grêle et de fortes pluies accompagnées de vents violents ont causé des inondations localisées. Le 30 juin, l’Alberta a encore connu du mauvais temps. De la grêle s’est abattue sur Calgary, Taber et Strathmore ont connu des inondations, et une tornade de force EF0 a touché le sol à Ponoka.				0.0000	0.0	30/06/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Inondation	Kenora (ON)	27/06/2016 12:00:00 AM	Kenora (ON), les 27 et 28 juin 2016. Deux états d’urgence ont été déclarés à Kenora en raison d’une inondation qui a causé des dommages modérés à graves à plus de 20 routes. Le 27 juin, le premier état d’urgence a été déclaré après que Kenora eut reçu plus de 109 mm de pluie en deux jours. La principale route d’accès à la ville, Veterans Drive, a été entièrement emportée par l’eau et, subséquemment, fermée. Un deuxième état d’urgence a été déclaré le 28 juin.				0.0000	0.0	28/06/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Alberta, Saskatchewan, Manitoba and Ontario	24/06/2016 12:00:00 AM	Alberta, Saskatchewan, Manitoba et Ontario, les 24 et 25 juin 2016. Un important système de tempête a causé du mauvais temps dans l’ensemble des Prairies et certaines parties du nord de l’Ontario. Le 24 juin, des orages généralisés et violents ont produit de fortes pluies, des rafales de vent violentes, de la grêle et des éclairs dans le sud de la Saskatchewan, tandis que le sud du Manitoba a connu de la grêle, des rafales de vent ayant atteint 124 km/h et jusqu’à 138 mm de pluie. Dans certaines parties du sud de la Saskatchewan et du Manitoba, des vents puissants ont déraciné des arbres et fait tomber des lignes électriques, tandis que des inondations ont causé des dommages aux routes, aux résidences et aux entreprises. Au Manitoba, un avis d’évacuation volontaire a été donné pour les collectivités du lac Caddy et de Whiteshell en raison d’inondations. Le 25 juin, le système de tempête est entré dans le nord de l’Ontario où il a causé d’importantes inondations à Thunder Bay, qui a reçu 50 mm de pluie en trois heures.				0.0000	0.0	25/06/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Easterville and Chemawawin MB	23/06/2016 12:00:00 AM	Easterville et Chemanwawin (MB), du 23 au 27 juin 2016. Des ordres d’évacuation ont été donnés pour les collectivités d’Easterville et de la Nation des Cris de Chemanwawin, situées à 450 kilomètres au nord de Winnipeg, en raison de la fumée et de la menace d’un incendie irréprimé qui s’est approché à moins d’un demi-kilomètre des deux collectivités. Trois feux brûlaient la région à ce moment-là. Le feu le plus proche d’Easterville et de Chemanwawin a atteint une étendue maximale de 350 hectares. Deux bombardiers d’eau, quatre bouteurs et sept équipes au sol ont empêché le feu d’atteindre les collectivités. Environ 2 000 personnes de Chemanwawin ont été évacuées et transportées à Winnipeg, et environ 70 personnes d’Easterville ont été évacuées et transportées à The Pas. La Croix-Rouge canadienne, avec l’aide d’Indigenous and Municipal Relations (IMR), a participé à la coordination de l’évacuation.			2070	0.0000	0.0	27/06/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Inondation	Nord-est de la Colombie-Britannique	15/06/2016 12:00:00 AM	Nord-est de la Colombie-Britannique, les 15 et 17 juin 2016. De fortes pluies dans l’ensemble de la région de la rivière de la Paix dans le nord-est de la Colombie-Britannique ont causé des inondations dans plusieurs collectivités. Le 15 juin, le district de Chetwynd a déclaré un état d’urgence local après que Chetwynd eut reçu un total de 134,8 mm de pluie en deux jours. Une section de l’autoroute 97, la seule route qui relie la région de la rivière de la Paix au reste de la province, a été fermée en raison d’inondations. La ville de Dawson Creek a été la plus durement touchée par les inondations provoquées par la chute de 98,6 mm de pluie en deux jours également. À Dawson Creek, 60 personnes ont été évacuées de leurs maisons en raison de l’inondation qui a endommagé environ 400 maisons, détruit un pont et submergé deux autres ponts. L’inondation à Dawson Creek a divisé la ville en deux, laissant les résidents du côté sud de la ville sans courant tout en isolant l’hôpital de la caserne des pompiers, ce qui a créé un défi pour les intervenants d’urgence. Le 15 juin, plus de 2 000 maisons et entreprises (environ 6 000 personnes) ont manqué d’électricité dans la région de la rivière de la Paix.			60	65132000.0000	3043551.4	17/06/2016 12:00:00 AM	65132000.0000							6000		
