location_text,Latitude,Longitude
"Kentville, NS",45.080,64.510
"Kimberley, BC",49.680,115.980
"Kincardine, ON",44.170,81.630
"Kingston, ON",44.230,76.500
"Kingston-greenwood, NS",44.980,64.900
"Kirkland Lake, ON",48.170,80.030
"Kitchener, ON",43.460,80.500
"Kitimat, BC",54.010,128.700
"La Sarre, QC",48.800,79.200
"La Tuque, QC",47.440,72.780
"Labrador City, NL",52.940,66.920
"Lachute, QC",45.650,74.350
"Lacombe, AB",52.470,113.730
"Ladysmith, BC",48.990,123.820
"Lavaltrie, QC",45.890,73.290
"Leamington, ON",42.060,82.600
"Leduc, AB",53.260,113.560
"Les Coteaux, QC",45.300,74.220
"Lethbridge, AB",49.690,112.830
"Lindsay, ON",44.350,78.740
"Listowel, ON",43.730,80.970
"Lively, ON",46.430,81.150
"Lloydminster, AB",53.280,110.010
"London, ON",42.970,81.240
"Louiseville, QC",46.250,72.930
"Magog, QC",45.260,72.140
"Marieville, QC",45.430,73.170
"Matane, QC",48.850,67.530
"Medicine Hat, AB",50.040,110.690
"Merritt, BC",50.120,120.780
"Midland, ON",44.750,79.890
"Milton, ON",43.510,79.890
"Moncton, NB",46.090,64.780
"Mont-Joli, QC",48.580,68.180
"Mont-Laurier, QC",46.550,65.750
"Montmagny, QC",46.970,70.550
"Montreal, QC",45.520,73.570
"Moose Jaw, SK",50.390,105.540
"Morden, MB",49.180,98.100
"Morinville, AB",53.800,113.650
"Nanaimo, BC",49.210,123.970
"Nanticoke, ON",42.810,80.090
"Napanee, ON",44.250,76.950
"Nelson, BC",49.490,117.300
"New Glasgow, NS",45.590,62.650
"New Hamburg, ON",43.480,80.720
"New Waterford, NS",46.260,60.110
"North Battleford, SK",52.790,108.290
"North Bay, ON",46.300,79.450
"North cowichan, BC",48.820,123.730
"Okotoks, AB",50.720,113.960
"Olds, AB",51.780,114.100
"Orangeville, ON",43.920,80.100
"Orillia, ON",44.600,79.420
"Oromocto, NB",45.850,66.470
"Oshawa, ON",43.890,78.860
"Ottawa, ON",45.420,75.710
"Owen Sound, ON",44.570,80.940
"Paris, ON",43.200,80.380
"Parkhill, ON",49.330,124.330
"Parry Sound, ON",45.330,80.030
"Pembroke, ON",45.830,77.120
"Penticton, BC",49.500,119.590
"Perth, ON",44.880,76.230
"Petawawa, ON",45.900,77.280
"Peterborough, ON",44.300,78.340
"Plessisville, QC",46.220,71.770
"Ponoka, AB",52.680,113.570
"Porcupine Plain, SK",48.470,81.200
"Port Alberni, BC",49.270,124.820
"Port Dover, ON",42.780,80.200
"Port Elgin, ON",44.430,81.380
"Port Hope, ON",43.960,78.300
"Port Perry, ON",44.100,78.930
"Portage la Prairie, MB",49.980,98.310
"Port-alfred-bagotville, QC",48.330,70.880
"Port-cartier, QC",50.040,66.860
"Powell River, BC",49.850,124.520
"Prince Albert, SK",53.200,105.750
"Prince George, BC",53.910,122.770
"Prince Rupert, BC",54.320,130.310
"QC, QC",46.820,71.230
"Quesnel, BC",52.980,122.480
"Red Deer, AB",52.270,113.830
"Regina, SK",50.450,104.610
"Renfrew, ON",45.480,76.700
"Revelstoke, BC",51.000,118.180
"Rimouski, QC",48.440,68.540
"Riviere-du-Loup, QC",47.840,69.540
"Roberval, QC",48.520,72.240
"Rockland, ON",45.530,75.280
"Rocky Mountain House, AB",52.370,114.920
"Rouyn-Noranda, QC",48.240,79.030
"Saint catharines-niagara, ON",43.180,79.240
"Saint john, ON",45.290,66.060
"Saint john's, NB",47.580,52.690
"Saint mary's, ON",43.250,81.130
"Saint Thomas, QC",42.780,81.190
"Sainte-agathe-des-monts, QC",46.030,74.280
"Sainte-anne-des-monts, QC",49.120,66.480
"Sainte-anne-des-plaines, QC",45.780,73.820
"Sainte-marie, QC",46.430,71.020
"Saint-felicien, QC",48.650,72.450
"Saint-georges, QC",46.130,70.680
"Saint-hyacinthe, QC",45.630,72.960
"Saint-jean-sur-richelieu, QC",45.310,73.260
"Saint-jerome, QC",45.780,74.000
"Salaberry-de-Valleyfield, QC",45.260,74.140
"Salmon Arm, BC",50.700,119.290
"Sarnia, ON",42.990,82.400
"Saskatoon, SK",52.150,106.660
"Sault Ste. Marie, ON",46.530,84.350
"Sechelt, BC",49.470,123.770
"Selkirk, MB",50.140,96.890
"Sept-Iles, QC",50.220,66.380
"Shawinigan, QC",46.560,72.750
"Sherbrooke, QC",45.400,71.900
"Simcoe, ON",42.840,80.310
"Slave Lake, AB",55.280,114.780
"Smithers, BC",54.770,127.170
"Smiths Falls, ON",44.910,76.020
"Sooke, BC",48.380,123.730
"Sorel, QC",46.050,73.140
"Spruce Grove, AB",53.530,113.920
"Squamish, BC",49.710,123.170
"Steinbach, MB",49.520,96.680
"Stephenville, NL",48.560,58.570
"Stony Plain, AB",53.530,114.000
"Stratford, ON",43.370,80.980
"Strathmore, AB",51.040,113.400
"Strathroy, ON",42.950,81.620
"Sturgeon Falls, ON",46.370,79.930
"Sudbury, ON",46.490,81.010
"Summerland, BC",49.610,119.690
"Summerside, NL",46.400,63.800
"Sutton, ON",44.300,79.370
"Swift Current, SK",50.300,107.800
"Sydney, NS",46.200,59.970
"Sylvan Lake, AB",52.310,114.100
"Taber, AB",49.780,112.150
"Terrace, BC",54.520,128.610
"The Pas, MB",53.820,101.260
"Thetford Mines, QC",46.100,71.310
"Thompson, MB",55.740,97.860
"Thunder Bay, ON",48.420,89.280
"Tillsonburg, ON",42.870,80.730
"Timmins, ON",48.490,81.350
"Toronto, ON",43.650,79.380
"Trail, BC",49.100,117.730
"Trois-Rivieres, QC",46.350,72.570
"Truro, NS",45.360,63.280
"Uxbridge, ON",44.100,79.120
"Val-d`Or, QC",48.110,77.790
"Valley East, ON",46.640,81.010
"Vancouver, BC",49.280,123.130
"Vegreville, AB",53.500,112.050
"Vernon, BC",50.270,119.280
"Victoria, BC",48.430,123.370
"Victoriaville, QC",46.060,71.960
"Wallaceburg, ON",42.590,82.390
"Walnut grove, BC",49.190,122.620
"Wasaga Beach, ON",44.530,79.990
"Wetaskiwin, AB",52.970,113.380
"Weyburn, SK",49.670,103.860
"Whistler, BC",50.130,122.970
"Whitchurch-Stouffville, ON",43.970,79.250
"White Rock, BC",49.030,122.830
"Whitecourt, AB",54.130,115.680
"Whitehorse, YT",60.730,135.050
"Williams Lake, BC",52.130,122.140
"Windsor, ON",42.300,83.030
"Winkler, MB",49.180,97.930
"Winnipeg, MB",49.880,97.170
"Wood buffalo, AB",56.740,111.430
"Woodstock, ON",43.130,80.760
"Yarmouth, NS",43.840,66.120
"Yellowknife, NT",62.460,114.360
"Yorkton, SK",51.210,102.470
